date,event,value,surprise_z,surprise,regime,confidence,y10_1d,y10_5d,y10_21d,curve_1d,curve_5d,y2_1d,y2_5d,sp500_1d
2005-01-01,CPI_MOM,-0.052,-1.403,MISS,GOLDILOCKS,MEDIUM,-1.0,5.0,-9.0,-3.0,-7.0,2.0,12.0,
2005-02-01,CPI_MOM,0.418,0.77,BEAT,GOLDILOCKS,MEDIUM,0.0,-10.0,24.0,-3.0,-14.0,3.0,4.0,
2005-03-01,CPI_MOM,0.364,0.117,INLINE,GOLDILOCKS,MEDIUM,0.0,0.0,12.0,2.0,-3.0,-2.0,3.0,
2005-04-01,CPI_MOM,0.311,-0.151,INLINE,GOLDILOCKS,LOW,1.0,4.0,-25.0,2.0,2.0,-1.0,2.0,
2005-05-01,CPI_MOM,-0.052,-1.728,MISS,GOLDILOCKS,LOW,0.0,7.0,-21.0,2.0,0.0,-2.0,7.0,
2005-06-01,CPI_MOM,0.052,-0.735,MISS,GOLDILOCKS,MEDIUM,-2.0,4.0,3.0,-4.0,-6.0,2.0,10.0,
2005-07-01,CPI_MOM,0.62,1.272,BEAT,GOLDILOCKS,MEDIUM,5.0,5.0,28.0,2.0,0.0,3.0,5.0,
2005-08-01,CPI_MOM,0.616,1.091,BEAT,GOLDILOCKS,MEDIUM,2.0,10.0,-16.0,0.0,-2.0,2.0,12.0,
2005-09-01,CPI_MOM,1.377,2.46,BEAT,GOLDILOCKS,LOW,1.0,12.0,37.0,-2.0,-4.0,3.0,16.0,
2005-10-01,CPI_MOM,0.151,-0.462,INLINE,GOLDILOCKS,LOW,5.0,1.0,24.0,2.0,1.0,3.0,0.0,
2005-11-01,CPI_MOM,-0.502,-1.557,MISS,GOLDILOCKS,LOW,3.0,-1.0,-6.0,2.0,-2.0,1.0,1.0,
2005-12-01,CPI_MOM,0.0,-0.49,INLINE,GOLDILOCKS,MEDIUM,0.0,-5.0,-15.0,2.0,3.0,-2.0,-8.0,
2006-01-01,CPI_MOM,0.606,0.574,BEAT,GOLDILOCKS,HIGH,-2.0,-1.0,18.0,5.0,4.0,-7.0,-5.0,
2006-02-01,CPI_MOM,0.05,-0.382,INLINE,GOLDILOCKS,MEDIUM,0.0,-1.0,11.0,0.0,-6.0,0.0,5.0,
2006-03-01,CPI_MOM,0.15,-0.0,INLINE,GOLDILOCKS,MEDIUM,5.0,14.0,27.0,4.0,13.0,1.0,1.0,
2006-04-01,CPI_MOM,0.501,0.731,BEAT,GOLDILOCKS,LOW,2.0,11.0,26.0,-2.0,4.0,4.0,7.0,
2006-05-01,CPI_MOM,0.299,0.159,INLINE,REFLATION,LOW,-2.0,-2.0,-2.0,0.0,-5.0,-2.0,3.0,
2006-06-01,CPI_MOM,0.248,-0.055,INLINE,REFLATION,LOW,-11.0,-11.0,4.0,1.0,-8.0,-12.0,-3.0,
2006-07-01,CPI_MOM,0.545,0.596,BEAT,REFLATION,LOW,0.0,-2.0,-16.0,-1.0,-3.0,1.0,1.0,
2006-08-01,CPI_MOM,0.444,0.379,INLINE,STAGFLATION_RISK,LOW,-3.0,-6.0,-23.0,-3.0,-0.0,0.0,-6.0,
2006-09-01,CPI_MOM,-0.491,-1.888,MISS,REFLATION,LOW,5.0,7.0,-11.0,2.0,1.0,3.0,6.0,
2006-10-01,CPI_MOM,-0.444,-1.584,MISS,REFLATION,LOW,-2.0,6.0,-3.0,3.0,3.0,-5.0,3.0,
2006-11-01,CPI_MOM,0.05,-0.419,INLINE,GOLDILOCKS,LOW,3.0,7.0,-14.0,2.0,-2.0,1.0,9.0,
2006-12-01,CPI_MOM,0.545,0.733,BEAT,GOLDILOCKS,LOW,0.0,13.0,24.0,0.0,-3.0,0.0,16.0,
2007-01-01,CPI_MOM,0.166,-0.119,INLINE,GOLDILOCKS,LOW,-3.0,-5.0,12.0,-1.0,-1.0,-2.0,-4.0,
2007-02-01,CPI_MOM,0.388,0.326,INLINE,REFLATION,LOW,-1.0,-11.0,-33.0,1.0,-2.0,-2.0,-9.0,
2007-03-01,CPI_MOM,0.52,0.488,INLINE,GOLDILOCKS,LOW,-4.0,-5.0,9.0,3.0,2.0,-7.0,-7.0,
2007-04-01,CPI_MOM,0.3,0.002,INLINE,GOLDILOCKS,LOW,0.0,11.0,-2.0,-2.0,-6.0,2.0,17.0,
2007-05-01,CPI_MOM,0.413,0.194,INLINE,GOLDILOCKS,LOW,1.0,-1.0,26.0,-1.0,-6.0,2.0,5.0,
2007-06-01,CPI_MOM,0.232,-0.315,INLINE,GOLDILOCKS,LOW,-2.0,17.0,5.0,-2.0,13.0,0.0,4.0,
2007-07-01,CPI_MOM,0.178,-0.257,INLINE,DEFLATION_RISK,LOW,-3.0,13.0,-25.0,-2.0,3.0,-1.0,10.0,
2007-08-01,CPI_MOM,0.031,-0.519,MISS,DEFLATION_RISK,LOW,1.0,8.0,-25.0,-2.0,0.0,3.0,8.0,
2007-09-01,CPI_MOM,0.424,0.579,BEAT,GOLDILOCKS,LOW,2.0,-20.0,0.0,4.0,8.0,-2.0,-28.0,
2007-10-01,CPI_MOM,0.308,0.024,INLINE,GOLDILOCKS,LOW,-2.0,11.0,-8.0,2.0,-2.0,-4.0,13.0,
2007-11-01,CPI_MOM,0.786,2.163,BEAT,GOLDILOCKS,LOW,-5.0,-8.0,-47.0,6.0,22.0,-11.0,-30.0,
2007-12-01,CPI_MOM,0.29,-0.074,INLINE,DEFLATION_RISK,LOW,-8.0,15.0,-6.0,6.0,7.0,-14.0,8.0,
2008-01-01,CPI_MOM,0.345,0.098,INLINE,DEFLATION_RISK,MEDIUM,-13.0,-18.0,-37.0,4.0,11.0,-17.0,-29.0,
2008-02-01,CPI_MOM,0.242,-0.331,INLINE,DEFLATION_RISK,MEDIUM,6.0,2.0,1.0,7.0,18.0,-1.0,-16.0,
2008-03-01,CPI_MOM,0.358,0.297,INLINE,DEFLATION_RISK,MEDIUM,1.0,3.0,4.0,5.0,15.0,-4.0,-12.0,
2008-04-01,CPI_MOM,0.231,-0.371,INLINE,DEFLATION_RISK,MEDIUM,3.0,1.0,20.0,-5.0,-6.0,8.0,7.0,
2008-05-01,CPI_MOM,0.592,1.484,BEAT,DEFLATION_RISK,MEDIUM,11.0,1.0,20.0,1.0,13.0,10.0,-12.0,
2008-06-01,CPI_MOM,1.048,2.564,BEAT,DEFLATION_RISK,MEDIUM,-8.0,-12.0,-7.0,7.0,14.0,-15.0,-26.0,
2008-07-01,CPI_MOM,0.714,1.274,BEAT,DEFLATION_RISK,HIGH,-2.0,-16.0,-2.0,1.0,6.0,-3.0,-22.0,
2008-08-01,CPI_MOM,-0.149,-1.602,MISS,DEFLATION_RISK,HIGH,1.0,-3.0,-23.0,-1.0,-3.0,2.0,0.0,
2008-09-01,CPI_MOM,0.086,-0.735,MISS,DEFLATION_RISK,HIGH,-9.0,-17.0,2.0,1.0,-11.0,-10.0,-6.0,
2008-10-01,CPI_MOM,-0.86,-2.395,MISS,DEFLATION_RISK,HIGH,-11.0,-5.0,24.0,9.0,12.0,-20.0,-17.0,
2008-11-01,CPI_MOM,-1.771,-2.713,MISS,DEFLATION_RISK,HIGH,-5.0,-18.0,-134.0,6.0,5.0,-11.0,-23.0,
2008-12-01,CPI_MOM,-0.823,-1.338,MISS,DEFLATION_RISK,HIGH,-4.0,5.0,-47.0,-4.0,-2.0,0.0,7.0,
